DOID:0060683	OMIM:603204
DOID:0060684	OMIM:605375
DOID:0060685	OMIM:610353
DOID:0060686	OMIM:615005
DOID:0060688	OMIM:108010
DOID:0060689	OMIM:209500
DOID:0060690	OMIM:609129
DOID:0060691	OMIM:187800
DOID:0060692	OMIM:609821
DOID:0060693	OMIM:300615
DOID:0060694	OMIM:601238
DOID:0060695	OMIM:PS149400
DOID:0060696	OMIM:149400
DOID:0060697	OMIM:614619
DOID:0060698	OMIM:614618
DOID:0060699	OMIM:PS145980
DOID:0060700	OMIM:145980
DOID:0060701	OMIM:145981
DOID:0060702	OMIM:600740
DOID:0060703	OMIM:602849
DOID:0060704	OMIM:PS308240
DOID:0060705	OMIM:308240
DOID:0060706	OMIM:300635
DOID:0060707	OMIM:613011
DOID:0060708	OMIM:615122
DOID:0060710	OMIM:242100
